Habitatges. Per tipus d'habitatge
Municipis. 2021
Font: Idescat, a partir del Cens de població i habitatges de l'INE.
Institut d'Estadística de Catalunya
https://www.idescat.cat/pub/?id=censph&n=30&geo=mun&lang=ca
Codi;Nom;Habitatges familiars convencionals principals;Habitatges familiars convencionals no principals;Habitatges familiars convencionals;Habitatges familiars no convencionals (allotjaments);Total habitatges familiars;Establiments col·lectius
430960;Morera de Montsant, la;65;97;162;0;162;0
081290;Muntanyola;250;142;392;0;392;0
081398;Mura;102;142;244;0;244;0
251459;Nalec;40;80;120;0;120;0
250254;Naut Aran;791;3969;4760;0;4760;0
081402;Navarcles;2341;450;2791;0;2791;2
081419;Navàs;2357;735;3092;0;3092;1
171117;Navata;534;324;858;0;858;0
251462;Navès;107;94;201;0;201;0
081424;Nou de Berguedà, la;64;59;123;0;123;0
430976;Nou de Gaià, la;220;68;288;0;288;0
430982;Nulles;198;139;337;0;337;0
251484;Odèn;88;43;131;0;131;0
081430;Òdena;1337;393;1730;0;1730;2
171122;Ogassa;106;107;213;0;213;0
081458;Olèrdola;1405;386;1791;0;1791;0
081461;Olesa de Bonesvalls;728;409;1137;0;1137;1
081477;Olesa de Montserrat;8927;1251;10178;0;10178;7
251497;Oliana;710;512;1222;0;1222;1
251500;Oliola;69;61;130;0;130;0
251517;Olius;324;124;448;0;448;0
081483;Olivella;1514;748;2262;0;2262;1
081496;Olost;465;166;631;0;631;0
171143;Olot;13638;3075;16713;0;16713;96
251522;Oluges, les;65;89;154;0;154;0
081445;Olvan;360;170;530;0;530;0
251538;Omellons, els;87;66;153;0;153;0
251543;Omells de na Gaia, els;55;130;185;0;185;0
171156;Ordis;128;38;166;0;166;0
251556;Organyà;350;463;813;0;813;0
081509;Orís;116;19;135;0;135;0
081516;Oristà;197;125;322;0;322;0
081521;Orpí;60;62;122;0;122;0
081537;Òrrius;299;60;359;0;359;0
251569;Os de Balaguer;371;349;720;0;720;2
171169;Osor;187;131;318;0;318;0
251575;Ossó de Sió;61;148;209;0;209;0
081542;Pacs del Penedès;327;85;412;0;412;0
081555;Palafolls;3650;783;4433;0;4433;5
171175;Palafrugell;8687;8988;17675;0;17675;6
171181;Palamós;7193;5814;13007;0;13007;1
251581;Palau d'Anglesola, el;802;219;1021;0;1021;1
171194;Palau de Santa Eulàlia;49;32;81;0;81;0
171215;Palau-sator;120;139;259;0;259;0
171208;Palau-saverdera;547;389;936;0;936;1
081568;Palau-solità i Plegamans;5138;589;5727;0;5727;1
431009;Pallaresos, els;1623;309;1932;0;1932;28
081574;Pallejà;4194;456;4650;0;4650;7
430995;Palma d'Ebre, la;154;133;287;0;287;0
089058;Palma de Cervelló, la;1131;157;1288;0;1288;1
171236;Palol de Revardit;151;55;206;0;206;0
171241;Pals;1028;2961;3989;0;3989;0
081580;Papiol, el;1563;208;1771;0;1771;0
171254;Pardines;63;157;220;0;220;0
081593;Parets del Vallès;6910;650;7560;0;7560;3
171267;Parlavà;162;106;268;0;268;0
431016;Passanant i Belltall;81;169;250;0;250;0
171289;Pau;220;94;314;0;314;0
431021;Paüls;221;120;341;0;341;0
171292;Pedret i Marzà;71;37;108;0;108;0
251641;Penelles;158;136;294;0;294;2
171306;Pera, la;168;102;270;0;270;0
081607;Perafita;161;120;281;0;281;0
431037;Perafort;467;105;572;0;572;0
171328;Peralada;737;388;1125;0;1125;0
251654;Peramola;138;172;310;0;310;0
431042;Perelló, el;1152;1850;3002;0;3002;1
081614;Piera;6120;2547;8667;0;8667;7
431055;Piles, les;83;83;166;0;166;0
081635;Pineda de Mar;11318;4979;16297;0;16297;6
